,Título,Género,Subgénero,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Género_idx,Downloaded
165,Adónde vas,Tango,Tango,https://www.todotango.com/musica/tema/5548/Adonde-vas/,True,False,False,False,7,True
166,Adónde vas [b],Tango,Tango,https://www.todotango.com/musica/tema/8605/Adonde-vas-[b]/,True,False,False,False,7,True
171,Afiches,Tango,Tango,https://www.todotango.com/musica/tema/201/Afiches/,True,False,True,True,7,False
173,Agonía,Tango,Tango,https://www.todotango.com/musica/tema/7864/Agonia/,True,True,False,False,7,True
174,Agrandao por tu linaje,Tango,Tango,https://www.todotango.com/musica/tema/6101/Agrandao-por-tu-linaje/,True,False,False,False,7,True
175,Agua clara,Tango,Tango,https://www.todotango.com/musica/tema/8015/Agua-clara/,True,False,False,False,7,True
176,Agua florida,Tango,Tango,https://www.todotango.com/musica/tema/1713/Agua-florida/,True,False,False,False,7,False
178,Agua mansa,Tango,Tango,https://www.todotango.com/musica/tema/8201/Agua-mansa/,True,True,False,False,7,True
180,Aguantate Casimiro,Tango,Tango,https://www.todotango.com/musica/tema/3796/Aguantate-Casimiro/,True,False,False,False,7,True
181,Aguante de tango,Tango,Tango,https://www.todotango.com/musica/tema/6353/Aguante-de-tango/,True,False,False,False,7,True
182,Aguante el corazón,Tango,Tango,https://www.todotango.com/musica/tema/6713/Aguante-el-corazon/,True,False,False,False,7,True
184,Aguas turbias,Tango,Tango,https://www.todotango.com/musica/tema/7660/Aguas-turbias/,True,True,False,False,7,True
186,Aguja brava,Tango,Tango,https://www.todotango.com/musica/tema/1314/Aguja-brava/,True,False,False,False,7,True
187,Ahí va el dulce,Tango,Tango,https://www.todotango.com/musica/tema/3221/Ahi-va-el-dulce/,True,True,False,False,7,True
